operator,eigenvalue_index,eigenvalue,is_zero
delta0,0,0,True
delta0,1,0.7639320225002065,False
delta0,2,0.7639320225002085,False
delta0,3,0.7639320225002088,False
delta0,4,0.7639320225002106,False
delta0,5,0.7639320225002111,False
delta0,6,0.7639320225002167,False
delta0,7,0.9999999999999996,False
delta0,8,1.000000000000001,False
delta0,9,1.000000000000001,False
delta0,10,1.000000000000004,False
delta0,11,1.999999999999998,False
delta0,12,1.999999999999999,False
delta0,13,1.999999999999999,False
delta0,14,2,False
delta0,15,2,False
delta0,16,2.999999999999997,False
delta0,17,2.999999999999999,False
delta0,18,2.999999999999999,False
delta0,19,3,False
delta0,20,3,False
delta0,21,3.000000000000002,False
delta0,22,3.000000000000002,False
delta0,23,3.000000000000003,False
delta0,24,3.999999999999994,False
delta0,25,3.999999999999999,False
delta0,26,4,False
delta0,27,4.000000000000001,False
delta0,28,4.000000000000003,False
delta0,29,5,False
delta0,30,5.000000000000001,False
delta0,31,5.000000000000002,False
delta0,32,5.000000000000005,False
delta0,33,5.236067977499787,False
delta0,34,5.236067977499788,False
delta0,35,5.236067977499789,False
delta0,36,5.23606797749979,False
delta0,37,5.23606797749979,False
delta0,38,5.236067977499791,False
delta0,39,5.999999999999993,False
delta0,40,5.999999999999993,False
delta0,41,5.999999999999996,False
delta0,42,5.999999999999996,False
delta0,43,5.999999999999996,False
delta0,44,5.999999999999998,False
delta0,45,5.999999999999998,False
delta0,46,5.999999999999999,False
delta0,47,6,False
delta0,48,6,False
delta0,49,6,False
delta0,50,6,False
delta0,51,6.000000000000001,False
delta0,52,6.000000000000001,False
delta0,53,6.000000000000003,False
delta0,54,6.000000000000003,False
delta0,55,6.000000000000004,False
delta0,56,6.000000000000004,False
delta0,57,6.000000000000004,False
delta0,58,6.000000000000009,False
delta0,59,6.000000000000012,False
delta1,0,0,True
delta1,1,0,True
delta1,2,0,True
delta1,3,0,True
delta1,4,0,True
delta1,5,0,True
delta1,6,0,True
delta1,7,0,True
delta1,8,0,True
delta1,9,0,True
delta1,10,0,True
delta1,11,0,True
delta1,12,0,True
delta1,13,0,True
delta1,14,0,True
delta1,15,0,True
delta1,16,0,True
delta1,17,0,True
delta1,18,0,True
delta1,19,0,True
delta1,20,0,True
delta1,21,0,True
delta1,22,0,True
delta1,23,0,True
delta1,24,0,True
delta1,25,0,True
delta1,26,0,True
delta1,27,0,True
delta1,28,0,True
delta1,29,0,True
delta1,30,0,True
delta1,31,0,True
delta1,32,0,True
delta1,33,0,True
delta1,34,0,True
delta1,35,0,True
delta1,36,0,True
delta1,37,0,True
delta1,38,0,True
delta1,39,0,True
delta1,40,0,True
delta1,41,0,True
delta1,42,0.7639320225002055,False
delta1,43,0.7639320225002055,False
delta1,44,0.7639320225002086,False
delta1,45,0.7639320225002109,False
delta1,46,0.7639320225002127,False
delta1,47,0.7639320225002176,False
delta1,48,0.9999999999999951,False
delta1,49,0.9999999999999956,False
delta1,50,0.999999999999998,False
delta1,51,1.000000000000006,False
delta1,52,1.999999999999988,False
delta1,53,1.999999999999993,False
delta1,54,1.999999999999993,False
delta1,55,1.999999999999999,False
delta1,56,2.000000000000012,False
delta1,57,2.999999999999996,False
delta1,58,2.999999999999998,False
delta1,59,3,False
delta1,60,3.000000000000001,False
delta1,61,3.000000000000001,False
delta1,62,3.000000000000002,False
delta1,63,3.000000000000003,False
delta1,64,3.000000000000004,False
delta1,65,3.999999999999995,False
delta1,66,3.999999999999999,False
delta1,67,4,False
delta1,68,4,False
delta1,69,4.000000000000008,False
delta1,70,4.999999999999996,False
delta1,71,4.999999999999997,False
delta1,72,5.000000000000006,False
delta1,73,5.000000000000016,False
delta1,74,5.236067977499784,False
delta1,75,5.236067977499788,False
delta1,76,5.23606797749979,False
delta1,77,5.236067977499791,False
delta1,78,5.236067977499791,False
delta1,79,5.236067977499793,False
delta1,80,5.999999999999994,False
delta1,81,5.999999999999995,False
delta1,82,5.999999999999995,False
delta1,83,5.999999999999995,False
delta1,84,5.999999999999996,False
delta1,85,5.999999999999996,False
delta1,86,5.999999999999996,False
delta1,87,5.999999999999997,False
delta1,88,5.999999999999997,False
delta1,89,5.999999999999998,False
delta1,90,5.999999999999998,False
delta1,91,5.999999999999999,False
delta1,92,6,False
delta1,93,6,False
delta1,94,6.000000000000001,False
delta1,95,6.000000000000002,False
delta1,96,6.000000000000003,False
delta1,97,6.000000000000004,False
delta1,98,6.000000000000004,False
delta1,99,6.000000000000004,False
delta1,100,6.000000000000004,False
delta1,101,6.000000000000004,False
delta1,102,6.000000000000006,False
delta1,103,6.000000000000008,False
delta1,104,6.00000000000001,False
delta1,105,10,False
delta1,106,10.00000000000001,False
delta1,107,10.00000000000001,False
delta1,108,10.00000000000001,False
delta1,109,15.99999999999999,False
delta1,110,15.99999999999999,False
delta1,111,16,False
delta1,112,16,False
delta1,113,16,False
delta1,114,16,False
delta1,115,16.00000000000001,False
delta1,116,16.00000000000001,False
delta1,117,16.00000000000001,False
delta1,118,16.00000000000001,False
delta1,119,16.00000000000001,False
delta2,0,0,True
delta2,1,5.999999999999998,False
delta2,2,5.999999999999999,False
delta2,3,6,False
delta2,4,6.000000000000002,False
delta2,5,9.999999999999998,False
delta2,6,10,False
delta2,7,10,False
delta2,8,10.00000000000001,False
delta2,9,15.99999999999999,False
delta2,10,15.99999999999999,False
delta2,11,15.99999999999999,False
delta2,12,16,False
delta2,13,16,False
delta2,14,16,False
delta2,15,16,False
delta2,16,16,False
delta2,17,16,False
delta2,18,16.00000000000001,False
delta2,19,16.00000000000001,False
